epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.975,1.98481,4.19702,0.00578,0.33874,0.34264,0.30791,0.19258,1.29023,3.66751,0.00419,0.00996255,0.00332085,0.00996255,0.00332085,0.00996255,0.00332085,0.00996255,0.00332085
2,208.237,1.58328,2.23326,0.00392,0.60928,0.53414,0.58325,0.34799,1.19129,2.32257,0.00429,0.0198967,0.00663222,0.0198967,0.00663222,0.0198967,0.00663222,0.0198967,0.00663222
3,290.52,1.54639,1.64029,0.00395,0.62217,0.59944,0.6213,0.37242,1.30777,1.65739,0.00459,0.0297648,0.0099216,0.0297648,0.0099216,0.0297648,0.0099216,0.0297648,0.0099216
4,372.957,1.56893,1.30104,0.00396,0.7295,0.66528,0.72965,0.42653,1.20936,1.14698,0.00401,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,455.603,1.52225,1.04757,0.00378,0.76657,0.70245,0.77147,0.47116,1.17309,1.04224,0.00448,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,537.854,1.48017,0.96129,0.00372,0.82079,0.72699,0.80134,0.50534,1.10066,0.89033,0.00363,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,619.688,1.45935,0.9061,0.00361,0.81377,0.70691,0.78552,0.46035,1.21632,0.91677,0.00408,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,701.655,1.43616,0.85969,0.00342,0.83628,0.72134,0.80908,0.50931,1.11227,0.81564,0.00362,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,783.129,1.40978,0.82563,0.00351,0.83687,0.75466,0.82121,0.52098,1.1377,0.80594,0.00395,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,865.035,1.41351,0.82085,0.00339,0.83502,0.7592,0.81855,0.49593,1.16826,0.79984,0.00374,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,947.134,1.36142,0.77191,0.00333,0.87163,0.74247,0.82657,0.53246,1.06597,0.77879,0.00387,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1029.58,1.39022,0.78288,0.00324,0.86886,0.7716,0.84891,0.54338,1.0472,0.75112,0.00323,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1112.3,1.37449,0.75486,0.00325,0.88131,0.76785,0.84746,0.52624,1.05924,0.73475,0.00316,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1194.37,1.35367,0.74645,0.00322,0.84391,0.76279,0.83173,0.52102,1.12951,0.81749,0.00355,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1276.9,1.34125,0.73,0.00318,0.87111,0.77165,0.84122,0.54653,1.07122,0.73857,0.00381,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1359.08,1.33124,0.72292,0.00325,0.87211,0.7729,0.84781,0.5375,1.06353,0.71406,0.00316,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1441.07,1.32255,0.70323,0.00306,0.87914,0.78458,0.85642,0.53996,1.09615,0.69726,0.00342,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1523.18,1.32649,0.70647,0.00301,0.89324,0.78805,0.85959,0.56983,0.99331,0.67446,0.00325,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1604.91,1.31625,0.6891,0.00307,0.87103,0.78044,0.85438,0.56012,1.01738,0.73305,0.00309,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1686.87,1.31339,0.69715,0.003,0.855,0.78377,0.85608,0.56378,1.00221,0.6985,0.0031,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1769.36,1.29794,0.66815,0.00301,0.88932,0.79154,0.8616,0.57036,1.03943,0.72043,0.00387,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1852.2,1.2938,0.67772,0.00299,0.88164,0.79103,0.86203,0.57499,0.99402,0.66573,0.00304,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1935.45,1.279,0.66214,0.00296,0.88958,0.78586,0.86319,0.57662,0.96487,0.67466,0.00291,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2017.87,1.28087,0.66962,0.00296,0.88168,0.7885,0.86385,0.57332,0.98484,0.67912,0.00306,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2099.56,1.26904,0.64455,0.00289,0.88557,0.78848,0.86379,0.57118,0.96438,0.66161,0.00287,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2180.71,1.26307,0.63974,0.00287,0.89476,0.79306,0.87035,0.57763,0.97944,0.65551,0.00295,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2263.02,1.26784,0.6467,0.00291,0.90932,0.80493,0.87991,0.58631,0.95565,0.64279,0.00272,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2345.27,1.26397,0.64297,0.00291,0.89639,0.78228,0.87012,0.57979,0.95697,0.6728,0.00274,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2427.53,1.2765,0.64523,0.00288,0.90351,0.79929,0.87843,0.59313,0.96897,0.64814,0.00307,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2509.5,1.27698,0.64924,0.00288,0.89097,0.81037,0.87257,0.58934,0.9451,0.654,0.00277,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2591.93,1.25117,0.61591,0.00278,0.90132,0.80752,0.87892,0.59338,0.94835,0.64136,0.00294,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2673.87,1.25933,0.63038,0.00284,0.89222,0.80323,0.87894,0.58828,0.95846,0.65209,0.00288,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2756.4,1.25666,0.62407,0.00282,0.89596,0.8103,0.88049,0.59382,0.93877,0.64566,0.00281,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2839.04,1.25393,0.62203,0.00277,0.90464,0.80287,0.87542,0.58775,0.95152,0.65067,0.00296,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2921.84,1.24159,0.6139,0.00281,0.89647,0.80158,0.88079,0.59304,0.95093,0.65994,0.00284,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3003.87,1.2333,0.60791,0.00275,0.89388,0.8122,0.87549,0.59041,0.92947,0.64122,0.00262,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3085.93,1.23433,0.60126,0.00276,0.89716,0.81203,0.88236,0.59758,0.92081,0.63625,0.00274,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3167.7,1.22841,0.60286,0.00279,0.89136,0.8214,0.8828,0.6001,0.9394,0.64336,0.00289,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3249.77,1.23667,0.61178,0.00282,0.90323,0.81659,0.89078,0.60952,0.90419,0.62466,0.00264,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3332.18,1.22168,0.59835,0.00264,0.88244,0.81762,0.88042,0.60245,0.90156,0.61798,0.00251,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3413.44,1.22891,0.59873,0.00272,0.89616,0.81787,0.88461,0.6034,0.9023,0.61746,0.00253,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3494.98,1.22797,0.58986,0.00268,0.91451,0.80907,0.88666,0.59988,0.93164,0.62722,0.00267,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3576.16,1.21851,0.59169,0.00269,0.90631,0.81614,0.88692,0.60684,0.90531,0.63176,0.00265,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3657.21,1.22585,0.60085,0.00271,0.90759,0.81064,0.88575,0.61022,0.9134,0.64056,0.00274,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
